# Schure et al. 2009 SPEX cooling curve (arXiv:0909.5204, Table 2)
# solar metallicity, CIE; column = Lambda_N
# T[K]              Lambda[erg cm^3 s^-1]
6.30957344e+03   1.84884286e-26
6.91830971e+03   9.15587806e-26
7.58577575e+03   3.92735356e-25
8.31763771e+03   1.48320097e-24
9.12010839e+03   4.98081028e-24
1.00000000e+04   1.49899436e-23
1.09647820e+04   4.05788748e-23
1.20226443e+04   9.84691071e-23
1.31825674e+04   2.08065464e-22
1.44543977e+04   3.52452017e-22
1.58489319e+04   4.73587248e-22
1.73780083e+04   4.50920521e-22
1.90546072e+04   3.71107729e-22
2.08929613e+04   2.95596985e-22
2.29086765e+04   2.43332434e-22
2.51188643e+04   2.18021840e-22
2.75422870e+04   2.21258518e-22
3.01995172e+04   2.55917509e-22
3.31131121e+04   3.09599321e-22
3.63078055e+04   3.86901132e-22
3.98107171e+04   4.91473380e-22
4.36515832e+04   6.24165845e-22
4.78630092e+04   7.82167920e-22
5.24807460e+04   9.56312869e-22
5.75439937e+04   1.14472192e-21
6.30957344e+04   1.33813522e-21
6.91830971e+04   1.51181970e-21
7.58577575e+04   1.65767734e-21
8.31763771e+04   1.75913836e-21
9.12010839e+04   1.79680108e-21
1.00000000e+05   1.75186243e-21
1.09647820e+05   1.65196180e-21
1.20226443e+05   1.58197640e-21
1.31825674e+05   1.58708432e-21
1.44543977e+05   1.64172344e-21
1.58489319e+05   1.70333472e-21
1.73780083e+05   1.74180687e-21
1.90546072e+05   1.76035395e-21
2.08929613e+05   1.77623327e-21
2.29086765e+05   1.75994866e-21
2.51188643e+05   1.62629752e-21
2.75422870e+05   1.30857916e-21
3.01995172e+05   9.01571138e-22
3.31131121e+05   5.90744926e-22
3.63078055e+05   4.22960684e-22
3.98107171e+05   3.48899221e-22
4.36515832e+05   3.20996280e-22
4.78630092e+05   3.09171889e-22
5.24807460e+05   2.92078776e-22
5.75439937e+05   2.59238799e-22
6.30957344e+05   2.21411411e-22
6.91830971e+05   1.94625616e-22
7.58577575e+05   1.80967255e-22
8.31763771e+05   1.74743086e-22
9.12010839e+05   1.69980851e-22
1.00000000e+06   1.62817094e-22
1.09647820e+06   1.54347642e-22
1.20226443e+06   1.47808701e-22
1.31825674e+06   1.43912991e-22
1.44543977e+06   1.40799139e-22
1.58489319e+06   1.35207256e-22
1.73780083e+06   1.24251031e-22
1.90546072e+06   1.07398941e-22
2.08929613e+06   8.80237771e-23
2.29086765e+06   7.09904616e-23
2.51188643e+06   5.81433432e-23
2.75422870e+06   4.91586559e-23
3.01995172e+06   4.32414253e-23
3.31131121e+06   3.95093605e-23
3.63078055e+06   3.73078309e-23
3.98107171e+06   3.62409856e-23
4.36515832e+06   3.59500915e-23
4.78630092e+06   3.62159598e-23
5.24807460e+06   3.68637914e-23
5.75439937e+06   3.76530360e-23
6.30957344e+06   3.83354001e-23
6.91830971e+06   3.86011284e-23
7.58577575e+06   3.83001081e-23
8.31763771e+06   3.74369104e-23
9.12010839e+06   3.61576336e-23
1.00000000e+07   3.46497416e-23
1.09647820e+07   3.28851631e-23
1.20226443e+07   3.08176842e-23
1.31825674e+07   2.85167481e-23
1.44543977e+07   2.61878594e-23
1.58489319e+07   2.41157071e-23
1.73780083e+07   2.24750155e-23
1.90546072e+07   2.12862912e-23
2.08929613e+07   2.04974578e-23
2.29086765e+07   2.00216562e-23
2.51188643e+07   1.98061471e-23
2.75422870e+07   1.97833575e-23
3.01995172e+07   1.99159029e-23
3.31131121e+07   2.01836636e-23
3.63078055e+07   2.05636404e-23
3.98107171e+07   2.10426291e-23
4.36515832e+07   2.16023003e-23
4.78630092e+07   2.22279801e-23
5.24807460e+07   2.29245067e-23
5.75439937e+07   2.36700949e-23
6.30957344e+07   2.44849939e-23
6.91830971e+07   2.53279477e-23
7.58577575e+07   2.62059555e-23
8.31763771e+07   2.71144001e-23
9.12010839e+07   2.80607969e-23
1.00000000e+08   2.90602938e-23
1.09647820e+08   3.00884628e-23
1.20226443e+08   3.11745361e-23
1.31825674e+08   3.22700769e-23
1.44543977e+08   3.34734133e-23
